V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD
0.000528985,0.000628587,0.000610773,0.000553678,0.000661857,0.000601406,0.000597552,0.000595563,0.00058285,0.000531386,1e-10_1000000_1,64,1e-10,1000000,1,0.0005892637,4.19330141536607e-05
0.000516076,0.000612674,0.000597443,0.000544874,0.000647875,0.000587447,0.000585945,0.000583031,0.000575672,0.000522806,1e-10_1000000_1,65,1e-10,1000000,1,0.0005773843,4.0304992731946e-05
0.000506197,0.000604763,0.000591956,0.000525704,0.000636252,0.000574054,0.000571307,0.000574845,0.000566289,0.00051539,1e-10_1000000_1,66,1e-10,1000000,1,0.0005666757,4.08791567918311e-05
0.000500843,0.000594318,0.000575301,0.00051594,0.000618619,0.000560706,0.000555507,0.000565603,0.000554588,0.000500027,1e-10_1000000_1,67,1e-10,1000000,1,0.0005541452,3.89075969040038e-05
0.00048339,0.000580337,0.000556377,0.00051161,0.000598711,0.000542941,0.000541065,0.000560648,0.000539975,0.000491741,1e-10_1000000_1,68,1e-10,1000000,1,0.0005406795,3.66869391420313e-05
0.000486022,0.000577461,0.000547665,0.000506037,0.00058509,0.00053642,0.000521839,0.000555531,0.000531775,0.000480078,1e-10_1000000_1,69,1e-10,1000000,1,0.0005327918,3.54100773754214e-05
0.000477944,0.000568137,0.000533098,0.000493755,0.00057133,0.000525853,0.000513488,0.000542917,0.000519622,0.000475614,1e-10_1000000_1,70,1e-10,1000000,1,0.0005221758,3.35091627595266e-05
0.000463182,0.000563675,0.000521766,0.000484836,0.000555701,0.000510217,0.000504318,0.000528459,0.000510968,0.000469571,1e-10_1000000_1,71,1e-10,1000000,1,0.0005112693,3.32090592327188e-05
0.000453919,0.000551943,0.000509231,0.000472586,0.000546778,0.000496441,0.000502038,0.000521188,0.000505978,0.000467769,1e-10_1000000_1,72,1e-10,1000000,1,0.0005027871,3.21612252753391e-05
0.000440225,0.000537611,0.000503321,0.000463354,0.000528598,0.000486887,0.000492687,0.000520871,0.00050528,0.000454502,1e-10_1000000_1,73,1e-10,1000000,1,0.0004933336,3.24448400287147e-05
0.000433569,0.000529958,0.000499159,0.000464333,0.000508087,0.000474798,0.000478426,0.000514978,0.000500533,0.000443327,1e-10_1000000_1,74,1e-10,1000000,1,0.0004847168,3.13582720321838e-05
0.000424714,0.000515585,0.000478165,0.000454848,0.000498557,0.000463879,0.000464549,0.000507164,0.000497745,0.000439001,1e-10_1000000_1,75,1e-10,1000000,1,0.0004744207,3.02291373018006e-05
0.000420125,0.0005031,0.000468802,0.000450629,0.000484818,0.000455583,0.000446794,0.000494835,0.00048678,0.000437425,1e-10_1000000_1,76,1e-10,1000000,1,0.0004648891,2.71293223507538e-05
0.000412333,0.000488358,0.00045946,0.000447037,0.000480463,0.000446095,0.000445651,0.00048483,0.000472689,0.000433679,1e-10_1000000_1,77,1e-10,1000000,1,0.0004570595,2.46001275437073e-05
0.000403757,0.000474957,0.000455068,0.000439902,0.000472461,0.00043975,0.000434457,0.0004797,0.000464919,0.000427121,1e-10_1000000_1,78,1e-10,1000000,1,0.0004492092,2.44083923445286e-05
0.000397371,0.000456939,0.000451732,0.000431984,0.000467757,0.000432987,0.000422707,0.000474891,0.000461894,0.000419581,1e-10_1000000_1,79,1e-10,1000000,1,0.0004417843,2.47354130349811e-05
0.00039379,0.000447449,0.000449735,0.000422163,0.000465048,0.000427826,0.000405968,0.000470054,0.000450226,0.000421201,1e-10_1000000_1,80,1e-10,1000000,1,0.000435346,2.5126757167963e-05
0.000391362,0.000439526,0.000436055,0.000411346,0.000464406,0.000415112,0.000399863,0.000459964,0.000446676,0.000420762,1e-10_1000000_1,81,1e-10,1000000,1,0.0004285072,2.47676424383823e-05
0.000382655,0.000429127,0.000424671,0.000406402,0.000461071,0.000416636,0.000391284,0.000447993,0.000441621,0.00041716,1e-10_1000000_1,82,1e-10,1000000,1,0.000421862,2.45671371325372e-05
0.000372774,0.000430117,0.000416675,0.000404041,0.000455548,0.000406149,0.000383385,0.000440856,0.000441587,0.00041091,1e-10_1000000_1,83,1e-10,1000000,1,0.0004162042,2.63187327236282e-05
0.00036373,0.000424142,0.000403509,0.000399802,0.00044872,0.000401411,0.000381671,0.000431152,0.00043427,0.000410307,1e-10_1000000_1,84,1e-10,1000000,1,0.0004098714,2.5601544624408e-05
0.000354915,0.00042169,0.00039382,0.000396514,0.000445906,0.000399037,0.000382944,0.000426725,0.000432921,0.000401995,1e-10_1000000_1,85,1e-10,1000000,1,0.0004056467,2.67411437969034e-05
0.000348752,0.000414567,0.00038708,0.00038553,0.00044019,0.000398321,0.000380638,0.000428101,0.000423933,0.000394309,1e-10_1000000_1,86,1e-10,1000000,1,0.0004001421,2.70851429649787e-05
