V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,generationMean,generationSD
0.0311803,0.0310527,0.0310581,0.0311894,0.0305138,0.0321623,0.0321398,0.0311109,0.0318164,0.031459,h0.1.spHuman,106,0.03136827,0.000526441931059616
0.0311459,0.0310619,0.0310602,0.0311804,0.0304978,0.0321501,0.0321577,0.0311123,0.0318356,0.0314268,h0.1.spHuman,107,0.03136287,0.000532576680029375
0.0311291,0.0310594,0.0310543,0.0311715,0.0304855,0.0321577,0.0321582,0.0311199,0.0318077,0.0314078,h0.1.spHuman,108,0.03135511,0.000534476660856206
0.0310977,0.0310387,0.0310333,0.0311433,0.0304817,0.0321662,0.0321603,0.0311162,0.0318012,0.031384,h0.1.spHuman,109,0.03134226,0.000541510334773647
0.0310856,0.0310016,0.031041,0.0311423,0.0304632,0.0321514,0.0321701,0.0311202,0.0318223,0.0313772,h0.1.spHuman,110,0.03133749,0.000548349096936532
0.0310814,0.0309986,0.031043,0.0311409,0.0304555,0.0321331,0.0321378,0.0311303,0.0318218,0.0314002,h0.1.spHuman,111,0.03133426,0.000541449733380466
0.0310968,0.0309747,0.0310387,0.0311283,0.0304762,0.0321203,0.0321087,0.0311039,0.0318048,0.0313974,h0.1.spHuman,112,0.03132498,0.000531969938164846
0.0310527,0.0309724,0.0310479,0.0311198,0.0304651,0.0320934,0.0321096,0.0310878,0.0318012,0.0313986,h0.1.spHuman,113,0.03131485,0.000532316347568708
0.0310382,0.0309728,0.0310212,0.0310876,0.0304786,0.0320676,0.0320993,0.0310779,0.0317552,0.031382,h0.1.spHuman,114,0.03129804,0.000523285722250388
0.0310539,0.0309556,0.0310437,0.0310741,0.0304855,0.0320588,0.0321242,0.0310415,0.0317505,0.031374,h0.1.spHuman,115,0.03129618,0.000525937572974841
0.0310374,0.0309535,0.0310402,0.0310478,0.0304897,0.0320295,0.0321189,0.0310362,0.03175,0.0313526,h0.1.spHuman,116,0.03128558,0.000521989067148175
